Index,Champion,Other Champions,Synergy,Counter,Synergy Total,Counter Total
541,Ahri,Miss Fortune,0,0,0,0
542,Ahri,Mordekaiser,2,4,2,4
543,Ahri,Morgana,0,2,0,4
544,Ahri,Nami,-3,-3,5,5
545,Ahri,Nasus,-1,0,1,0
546,Ahri,Nautilus,-1,-2,1,2
547,Ahri,Neeko,0,0,0,0
548,Ahri,Nidalee,-2,2,2,2
549,Ahri,Nocturne,3,-1,3,1
550,Ahri,Nunu and Willump,0,0,0,0
551,Ahri,Olaf,-1,-3,1,3
552,Ahri,Orrn,0,0,0,0
553,Ahri,Orianna,0,1,0,1
554,Ahri,Pantheon,1,0,1,0
555,Ahri,Poppy,-1,-2,1,2
556,Ahri,Pyke,3,-1,3,7
557,Ahri,Quinn,0,0,0,4
558,Ahri,Rammus,1,0,1,0
559,Ahri,Rakan,0,3,0,5
560,Ahri,Rek Sai,0,0,0,0
561,Ahri,Renekton,-1,1,3,1
562,Ahri,Rengar,-1,-2,3,2
563,Ahri,Riven,-3,-1,3,1
564,Ahri,Rumble,0,-1,0,1
565,Ahri,Ryze,1,3,1,5
566,Ahri,Samira,-1,1,3,1
567,Ahri,Sejuani,1,-2,1,2
568,Ahri,Seraphine,0,2,6,4
569,Ahri,Shaco,-2,1,4,3
570,Ahri,Shen,0,0,4,0
571,Ahri,Shyvana,0,1,0,1
572,Ahri,Singed,-1,0,1,0
573,Ahri,Sion,-1,0,1,0
574,Ahri,Sivir,-1,0,3,0
575,Ahri,Skarner,0,-1,0,1
576,Ahri,Sona,-4,1,6,3
577,Ahri,Soraka,3,0,3,0
578,Ahri,Swain,1,0,3,0
579,Ahri,Syndra,-1,0,1,0
580,Ahri,Sylas,-1,-2,1,8
581,Ahri,Talon,0,-2,0,2
582,Ahri,Taliyah,0,0,2,0
583,Ahri,Taric,1,3,1,3
584,Ahri,Tahm Kench,0,0,0,0
585,Ahri,Thresh,2,1,6,9
586,Ahri,Teemo,0,1,0,5
587,Ahri,Tristana,0,0,0,2
588,Ahri,Trundle,-3,0,3,2
589,Ahri,Tryndamere,-3,0,3,0
590,Ahri,Twisted Fate,0,0,0,0
591,Ahri,Twitch,2,2,2,4
592,Ahri,Udyr,1,0,1,0
593,Ahri,Urgot,1,0,1,0
594,Ahri,Varus,3,1,3,3
595,Ahri,Vayne,1,-1,3,3
596,Ahri,Veigar,0,1,0,3
597,Ahri,Vel Koz,0,0,0,0
598,Ahri,Vi,0,1,0,1
599,Ahri,Viktor,0,0,0,2
600,Ahri,Vladimir,0,2,0,4
601,Ahri,Volibear,1,-1,1,1
602,Ahri,Warwick,-3,0,3,0
603,Ahri,Wukong,0,0,0,0
604,Ahri,Xayah,0,0,2,2
605,Ahri,Xerath,0,1,0,1
606,Ahri,Xin Zhao,0,0,0,0
607,Ahri,Yasuo,0,3,0,5
608,Ahri,Yorick,0,0,0,0
609,Ahri,Zac,0,0,0,0
610,Ahri,Zed,1,-1,1,5
611,Ahri,Ziggs,2,-1,6,3
612,Ahri,Zilean,0,0,0,0
